,zip,county
0,12007,Albany
1,12009,Albany
2,12023,Albany
3,12041,Albany
4,12045,Albany
5,12046,Albany
6,12047,Albany
7,12053,Albany
8,12054,Albany
9,12055,Albany
10,12059,Albany
11,12067,Albany
12,12077,Albany
13,12083,Albany
14,12084,Albany
15,12085,Albany
16,12087,Albany
17,12107,Albany
18,12110,Albany
19,12120,Albany
20,12122,Albany
21,12128,Albany
22,12143,Albany
23,12147,Albany
24,12157,Albany
25,12158,Albany
26,12159,Albany
27,12161,Albany
28,12183,Albany
29,12186,Albany
30,12189,Albany
31,12193,Albany
32,12201,Albany
33,12202,Albany
34,12203,Albany
35,12204,Albany
36,12205,Albany
37,12206,Albany
38,12207,Albany
39,12208,Albany
40,12209,Albany
41,12210,Albany
42,12211,Albany
43,12212,Albany
44,12220,Albany
45,12222,Albany
46,12223,Albany
47,12224,Albany
48,12226,Albany
49,12227,Albany
50,12228,Albany
51,12229,Albany
52,12230,Albany
53,12231,Albany
54,12232,Albany
55,12233,Albany
56,12234,Albany
57,12235,Albany
58,12236,Albany
59,12237,Albany
60,12238,Albany
61,12239,Albany
62,12240,Albany
63,12241,Albany
64,12242,Albany
65,12243,Albany
66,12244,Albany
67,12245,Albany
68,12246,Albany
69,12247,Albany
70,12248,Albany
71,12249,Albany
72,12250,Albany
73,12252,Albany
74,12255,Albany
75,12256,Albany
76,12257,Albany
77,12260,Albany
78,12261,Albany
79,12288,Albany
80,12303,Albany
81,12304,Albany
82,12306,Albany
83,12309,Albany
84,12460,Albany
85,12469,Albany
86,14024,Allegany
87,14029,Allegany
88,14060,Allegany
89,14065,Allegany
90,14437,Allegany
91,14536,Allegany
92,14707,Allegany
93,14708,Allegany
94,14709,Allegany
95,14711,Allegany
96,14714,Allegany
97,14715,Allegany
98,14717,Allegany
99,14721,Allegany
100,14727,Allegany
101,14735,Allegany
102,14737,Allegany
103,14739,Allegany
104,14744,Allegany
105,14745,Allegany
106,14754,Allegany
107,14770,Allegany
108,14774,Allegany
109,14777,Allegany
110,14786,Allegany
111,14802,Allegany
112,14803,Allegany
113,14804,Allegany
114,14806,Allegany
115,14807,Allegany
116,14813,Allegany
117,14822,Allegany
118,14836,Allegany
119,14843,Allegany
120,14846,Allegany
121,14880,Allegany
122,14884,Allegany
123,14895,Allegany
124,14897,Allegany
125,10451,Bronx
126,10452,Bronx
127,10453,Bronx
128,10454,Bronx
129,10455,Bronx
130,10456,Bronx
131,10457,Bronx
132,10458,Bronx
133,10459,Bronx
134,10460,Bronx
135,10461,Bronx
136,10462,Bronx
137,10463,Bronx
138,10464,Bronx
139,10465,Bronx
140,10466,Bronx
141,10467,Bronx
142,10468,Bronx
143,10469,Bronx
144,10470,Bronx
145,10471,Bronx
146,10472,Bronx
147,10473,Bronx
148,10474,Bronx
149,10475,Bronx
150,10499,Bronx
151,10550,Bronx
152,10704,Bronx
153,10705,Bronx
154,10803,Bronx
155,13730,Broome
156,13736,Broome
157,13737,Broome
158,13744,Broome
159,13745,Broome
160,13746,Broome
161,13748,Broome
162,13749,Broome
163,13754,Broome
164,13760,Broome
165,13761,Broome
166,13762,Broome
167,13763,Broome
168,13777,Broome
169,13778,Broome
170,13787,Broome
171,13790,Broome
172,13794,Broome
173,13795,Broome
174,13797,Broome
175,13802,Broome
176,13803,Broome
177,13811,Broome
178,13813,Broome
179,13826,Broome
180,13833,Broome
181,13835,Broome
182,13848,Broome
183,13850,Broome
184,13851,Broome
185,13862,Broome
186,13863,Broome
187,13865,Broome
188,13901,Broome
189,13902,Broome
190,13903,Broome
191,13904,Broome
192,13905,Broome
193,14009,Cattaraugus
194,14030,Cattaraugus
195,14041,Cattaraugus
196,14042,Cattaraugus
199,14070,Cattaraugus
200,14081,Cattaraugus
201,14101,Cattaraugus
202,14129,Cattaraugus
203,14133,Cattaraugus
204,14138,Cattaraugus
205,14141,Cattaraugus
206,14168,Cattaraugus
207,14171,Cattaraugus
208,14173,Cattaraugus
209,14706,Cattaraugus
210,14719,Cattaraugus
211,14726,Cattaraugus
213,14729,Cattaraugus
214,14730,Cattaraugus
215,14731,Cattaraugus
217,14738,Cattaraugus
218,14741,Cattaraugus
219,14743,Cattaraugus
220,14747,Cattaraugus
221,14748,Cattaraugus
222,14751,Cattaraugus
223,14753,Cattaraugus
224,14755,Cattaraugus
225,14760,Cattaraugus
226,14766,Cattaraugus
228,14772,Cattaraugus
229,14778,Cattaraugus
230,14779,Cattaraugus
231,14783,Cattaraugus
232,14788,Cattaraugus
233,13021,Cayuga
234,13022,Cayuga
235,13024,Cayuga
236,13026,Cayuga
237,13027,Cayuga
238,13033,Cayuga
239,13034,Cayuga
240,13045,Cayuga
241,13064,Cayuga
242,13071,Cayuga
243,13073,Cayuga
244,13074,Cayuga
245,13080,Cayuga
246,13081,Cayuga
247,13092,Cayuga
248,13111,Cayuga
249,13113,Cayuga
250,13117,Cayuga
251,13118,Cayuga
252,13126,Cayuga
253,13139,Cayuga
254,13140,Cayuga
255,13143,Cayuga
256,13147,Cayuga
257,13152,Cayuga
258,13156,Cayuga
259,13160,Cayuga
260,13166,Cayuga
261,14882,Cayuga
262,14048,Chautauqua
263,14062,Chautauqua
264,14063,Chautauqua
266,14135,Chautauqua
267,14136,Chautauqua
269,14166,Chautauqua
270,14701,Chautauqua
271,14702,Chautauqua
272,14710,Chautauqua
273,14712,Chautauqua
274,14716,Chautauqua
275,14718,Chautauqua
276,14720,Chautauqua
277,14722,Chautauqua
278,14723,Chautauqua
279,14724,Chautauqua
281,14728,Chautauqua
282,14732,Chautauqua
283,14733,Chautauqua
284,14736,Chautauqua
286,14740,Chautauqua
287,14742,Chautauqua
289,14750,Chautauqua
290,14752,Chautauqua
291,14756,Chautauqua
292,14757,Chautauqua
293,14758,Chautauqua
294,14767,Chautauqua
295,14769,Chautauqua
296,14775,Chautauqua
297,14781,Chautauqua
298,14782,Chautauqua
299,14784,Chautauqua
300,14785,Chautauqua
301,14787,Chautauqua
302,14805,Chemung
303,14812,Chemung
304,14814,Chemung
305,14816,Chemung
306,14824,Chemung
307,14825,Chemung
308,14830,Chemung
309,14838,Chemung
310,14845,Chemung
311,14859,Chemung
312,14861,Chemung
313,14864,Chemung
314,14871,Chemung
315,14872,Chemung
316,14889,Chemung
317,14892,Chemung
318,14894,Chemung
319,14901,Chemung
320,14902,Chemung
321,14903,Chemung
322,14904,Chemung
323,14905,Chemung
324,14925,Chemung
325,13040,Chenango
326,13052,Chenango
327,13072,Chenango
328,13124,Chenango
329,13136,Chenango
330,13155,Chenango
331,13332,Chenango
332,13411,Chenango
333,13460,Chenango
334,13464,Chenango
335,13485,Chenango
337,13733,Chenango
339,13758,Chenango
341,13780,Chenango
343,13801,Chenango
344,13809,Chenango
346,13814,Chenango
347,13815,Chenango
348,13830,Chenango
349,13832,Chenango
351,13841,Chenango
352,13843,Chenango
353,13844,Chenango
355,12901,Clinton
356,12903,Clinton
357,12910,Clinton
358,12911,Clinton
359,12912,Clinton
360,12918,Clinton
361,12919,Clinton
362,12920,Clinton
363,12921,Clinton
364,12923,Clinton
365,12924,Clinton
366,12929,Clinton
367,12933,Clinton
368,12934,Clinton
369,12935,Clinton
370,12944,Clinton
371,12952,Clinton
372,12955,Clinton
373,12958,Clinton
374,12959,Clinton
375,12962,Clinton
376,12972,Clinton
377,12978,Clinton
378,12979,Clinton
379,12981,Clinton
380,12985,Clinton
381,12992,Clinton
382,12997,Clinton
383,12017,Columbia
384,12024,Columbia
385,12029,Columbia
386,12037,Columbia
387,12050,Columbia
388,12060,Columbia
389,12062,Columbia
390,12075,Columbia
391,12106,Columbia
392,12115,Columbia
393,12123,Columbia
394,12125,Columbia
395,12130,Columbia
396,12132,Columbia
397,12136,Columbia
398,12156,Columbia
399,12165,Columbia
400,12168,Columbia
401,12172,Columbia
402,12173,Columbia
403,12174,Columbia
404,12184,Columbia
405,12195,Columbia
406,12502,Columbia
407,12503,Columbia
408,12513,Columbia
409,12516,Columbia
410,12517,Columbia
411,12521,Columbia
412,12523,Columbia
413,12526,Columbia
414,12529,Columbia
415,12530,Columbia
416,12534,Columbia
417,12541,Columbia
418,12544,Columbia
419,12546,Columbia
420,12565,Columbia
421,12567,Columbia
422,12571,Columbia
423,12583,Columbia
427,13053,Cortland
428,13056,Cortland
429,13077,Cortland
430,13087,Cortland
431,13101,Cortland
432,13141,Cortland
433,13158,Cortland
434,13159,Cortland
435,13738,Cortland
436,13784,Cortland
440,12093,Delaware
441,12155,Delaware
442,12167,Delaware
443,12406,Delaware
444,12421,Delaware
445,12430,Delaware
446,12434,Delaware
447,12438,Delaware
448,12455,Delaware
449,12459,Delaware
450,12465,Delaware
451,12468,Delaware
452,12474,Delaware
453,12758,Delaware
454,12760,Delaware
455,12776,Delaware
456,13731,Delaware
458,13739,Delaware
459,13740,Delaware
460,13750,Delaware
461,13751,Delaware
462,13752,Delaware
463,13753,Delaware
465,13755,Delaware
466,13756,Delaware
467,13757,Delaware
468,13774,Delaware
469,13775,Delaware
470,13782,Delaware
471,13783,Delaware
472,13786,Delaware
473,13788,Delaware
474,13804,Delaware
475,13806,Delaware
476,13820,Delaware
477,13825,Delaware
478,13838,Delaware
479,13839,Delaware
480,13842,Delaware
481,13846,Delaware
482,13847,Delaware
483,13849,Delaware
484,13856,Delaware
485,13860,Delaware
486,10516,Dutchess
487,12501,Dutchess
488,12504,Dutchess
489,12506,Dutchess
490,12507,Dutchess
491,12508,Dutchess
492,12510,Dutchess
493,12511,Dutchess
494,12512,Dutchess
495,12514,Dutchess
496,12522,Dutchess
497,12524,Dutchess
498,12527,Dutchess
499,12531,Dutchess
500,12533,Dutchess
501,12537,Dutchess
502,12538,Dutchess
503,12540,Dutchess
504,12545,Dutchess
506,12564,Dutchess
508,12569,Dutchess
509,12570,Dutchess
511,12572,Dutchess
512,12574,Dutchess
513,12578,Dutchess
514,12580,Dutchess
515,12581,Dutchess
516,12582,Dutchess
518,12585,Dutchess
519,12590,Dutchess
520,12592,Dutchess
521,12594,Dutchess
522,12601,Dutchess
523,12602,Dutchess
524,12603,Dutchess
525,12604,Dutchess
526,14001,Erie
527,14004,Erie
528,14006,Erie
529,14010,Erie
530,14013,Erie
531,14025,Erie
532,14026,Erie
533,14027,Erie
535,14031,Erie
536,14032,Erie
537,14033,Erie
538,14034,Erie
539,14035,Erie
540,14037,Erie
541,14038,Erie
542,14043,Erie
543,14047,Erie
544,14051,Erie
545,14052,Erie
546,14055,Erie
547,14057,Erie
548,14059,Erie
549,14061,Erie
550,14068,Erie
551,14069,Erie
553,14072,Erie
554,14075,Erie
555,14080,Erie
557,14085,Erie
558,14086,Erie
559,14091,Erie
560,14102,Erie
561,14110,Erie
562,14111,Erie
563,14112,Erie
564,14127,Erie
565,14134,Erie
566,14139,Erie
567,14140,Erie
569,14145,Erie
570,14150,Erie
571,14151,Erie
572,14169,Erie
573,14170,Erie
574,14201,Erie
575,14202,Erie
576,14203,Erie
577,14204,Erie
578,14205,Erie
579,14206,Erie
580,14207,Erie
581,14208,Erie
582,14209,Erie
583,14210,Erie
584,14211,Erie
585,14212,Erie
586,14213,Erie
587,14214,Erie
588,14215,Erie
589,14216,Erie
590,14217,Erie
591,14218,Erie
592,14219,Erie
593,14220,Erie
594,14221,Erie
595,14222,Erie
596,14223,Erie
597,14224,Erie
598,14225,Erie
599,14226,Erie
600,14227,Erie
601,14228,Erie
602,14231,Erie
603,14233,Erie
604,14240,Erie
605,14241,Erie
606,14260,Erie
607,14261,Erie
608,14263,Erie
609,14264,Erie
610,14265,Erie
611,14267,Erie
612,14269,Erie
613,14270,Erie
614,14272,Erie
615,14273,Erie
616,14276,Erie
617,14280,Erie
618,12836,Essex
619,12851,Essex
620,12852,Essex
621,12853,Essex
622,12855,Essex
623,12857,Essex
624,12858,Essex
625,12870,Essex
626,12872,Essex
627,12879,Essex
628,12883,Essex
631,12913,Essex
632,12928,Essex
633,12932,Essex
634,12936,Essex
635,12941,Essex
636,12942,Essex
637,12943,Essex
639,12946,Essex
640,12950,Essex
641,12956,Essex
642,12960,Essex
643,12961,Essex
644,12964,Essex
646,12974,Essex
647,12975,Essex
648,12977,Essex
649,12983,Essex
650,12987,Essex
651,12989,Essex
652,12993,Essex
653,12996,Essex
655,12998,Essex
658,12914,Franklin
659,12915,Franklin
660,12916,Franklin
661,12917,Franklin
663,12926,Franklin
664,12930,Franklin
665,12937,Franklin
666,12939,Franklin
667,12945,Franklin
668,12953,Franklin
670,12957,Franklin
671,12966,Franklin
672,12967,Franklin
673,12969,Franklin
674,12970,Franklin
675,12976,Franklin
676,12980,Franklin
678,12986,Franklin
680,12995,Franklin
681,13655,Franklin
682,13683,Franklin
683,12010,Fulton
684,12025,Fulton
685,12032,Fulton
686,12068,Fulton
687,12070,Fulton
688,12078,Fulton
689,12086,Fulton
690,12095,Fulton
691,12117,Fulton
692,12134,Fulton
693,13329,Fulton
694,13339,Fulton
695,13452,Fulton
696,13454,Fulton
697,13470,Fulton
700,14005,Genesee
701,14011,Genesee
703,14020,Genesee
704,14021,Genesee
705,14036,Genesee
706,14040,Genesee
707,14054,Genesee
708,14056,Genesee
709,14058,Genesee
710,14103,Genesee
711,14105,Genesee
712,14125,Genesee
713,14143,Genesee
714,14416,Genesee
715,14422,Genesee
716,14428,Genesee
717,14482,Genesee
718,14525,Genesee
719,14557,Genesee
720,14591,Genesee
721,12015,Greene
722,12042,Greene
724,12051,Greene
725,12058,Greene
728,12124,Greene
730,12176,Greene
731,12192,Greene
732,12405,Greene
733,12407,Greene
734,12413,Greene
735,12414,Greene
736,12418,Greene
737,12422,Greene
738,12423,Greene
739,12424,Greene
740,12427,Greene
742,12431,Greene
743,12436,Greene
744,12439,Greene
745,12442,Greene
746,12444,Greene
747,12450,Greene
748,12451,Greene
749,12452,Greene
750,12454,Greene
752,12463,Greene
755,12470,Greene
756,12473,Greene
